Categoria,Tipo_Grafo,Peso_Espacial,Peso_Node2Vec,Acc,Std,Num_Pares
Car,Delaunay,1.0,0.0,0.7223076923076923,0.3213190884580234,780
Car,Delaunay,0.6,0.4,0.7234615384615386,0.3208974871180184,780
Car,Delaunay,0.4,0.6,0.7220512820512821,0.3224519800240545,780
Duck,Delaunay,1.0,0.0,0.7726530612244898,0.30438144376251886,1225
Duck,Delaunay,0.6,0.4,0.7726530612244898,0.304086289513718,1225
Duck,Delaunay,0.4,0.6,0.7728163265306123,0.30415461115779,1225
Duck,KNN_3,0.6,0.4,0.772734693877551,0.3041338840191598,1225
Duck,KNN_3,0.4,0.6,0.7728163265306123,0.30415461115779,1225
Duck,KNN_5,0.6,0.4,0.7727346938775511,0.30418756133314234,1225
Duck,KNN_5,0.4,0.6,0.773142857142857,0.30410309744813685,1225
Duck,KNN_7,0.6,0.4,0.7726530612244898,0.30438144376251886,1225
Duck,KNN_7,0.4,0.6,0.7727346938775509,0.3043485364733626,1225
Face,Delaunay,1.0,0.0,0.8693085287121984,0.1830501639066791,5886
Face,Delaunay,0.6,0.4,0.8695293917770982,0.1830638583045083,5886
Face,Delaunay,0.4,0.6,0.8693425076452599,0.18319502034221166,5886
Motorbike,Delaunay,1.0,0.0,0.8837179487179486,0.19109407653849433,780
Motorbike,Delaunay,0.6,0.4,0.8835897435897436,0.19151872345352447,780
Motorbike,Delaunay,0.4,0.6,0.8838461538461538,0.19120555973859832,780
Winebottle,Delaunay,1.0,0.0,0.9231235431235432,0.16743376697123613,2145
Winebottle,Delaunay,0.6,0.4,0.924055944055944,0.16618398163295248,2145
Winebottle,Delaunay,0.4,0.6,0.9233566433566434,0.16777695284439179,2145
